Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,AQI,heat_stroke,hypothermia,migraine,allergies,dehydration,skin_disease,sunburn_risk,respiratory_infection,joint_pain,stroke_risk,vertigo_risk,asthma,low_bp,cardiac_arrest,back_pain,paralysis_risk,pressure_problem,cluster,safe_or_unsafe,safe_or_unsafe_binary
0,1st week,Meghalaya,East Jaintia Hills,Acute Diarrhoeal Disease,160,,2,1,2022,25.25157605,92.48405007,0.02035381907,34.5,291.5333334,152,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,safe,1
1,2nd week,Maharashtra,Gadchiroli,Malaria,7,2.0,10,1,2022,19.75907035,80.16228073,0.007479298714,9.0,299.97,229,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,safe,1
2,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,,18,1,2022,10.3826515,78.8191259,0.1074129745,12.0,300.7666666,142,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,safe,1
3,3rd week,Gujarat,Patan,Acute Diarrhoeal Disease,7,,11,1,2022,23.77405735,71.68373466,0.06509449409,9.0,299.08,64,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,safe,1
4,3rd week,Kerala,Ernakulam,Acute Diarrhoeal Disease,14,,24,12,2021,9.98408,76.2741457,0.04125608103,33.0,303.028,156,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
5,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,,18,1,2022,10.3826515,78.8191259,0.1074129745,12.0,300.7666666,121,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,safe,1
6,5th week,Uttar Pradesh,Fatehpur,Acute Encephalitis Syndrome,1,,24,1,2022,25.8435395,80.91800397,0.09903011933,,290.18,238,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,safe,1
7,6th week,Maharashtra,Gadchiroli,Malaria,1,1.0,9,2,2022,19.75907035,80.16228073,8.36e-05,,300.06333340000003,70,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
8,6th week,Odisha,Koraput,Acute Diarrhoeal Disease,15,,11,2,2022,18.7232023,82.60811828,0.0004905797777,12.0,300.5566666,152,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
9,7th week,Gujarat,Ahmedabad,Acute Diarrhoeal Disease,67,,17,2,2022,23.0216238,72.5797068,7.25e-05,,302.55333340000004,171,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
10,7th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,89,,17,2,2022,23.41146995,87.84499445,0.003711025774,,296.68,260,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
11,7th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,5,,14,2,2022,8.4882267,76.947551,0.348763274,37.0,302.955,264,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,safe,1
12,8th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,21,,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,124,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
13,9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,,24,2,2022,9.98408,76.2741457,0.05127556617,40.0,302.8933334,252,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
14,9th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,21,,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,137,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
15,9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359,,5,3,2022,22.642931,88.8930579,0.0127255705,,299.72,166,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
16,9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,,24,2,2022,9.98408,76.2741457,0.05127556617,40.0,302.8933334,149,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
17,9th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,27,,3,3,2022,13.3400771,77.1006208,6.49e-05,7.0,308.4633334,153,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,safe,1
18,9th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21,,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,201,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
19,9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359,,5,3,2022,22.642931,88.8930579,0.0127255705,,299.72,180,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,safe,1
20,10th week,Gujarat,Navsari,Acute Diarrhoeal Disease,57,,8,3,2022,20.952407,72.9323831,0.0001374485643,4.0,307.9233334,199,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
21,10th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,14,,6,3,2022,23.2232877,72.6492267,7.1e-05,,307.38,102,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
22,10th week,Gujarat,Anand,Acute Gastroenteritis,24,,5,3,2022,22.5584995,72.9625629,5.63e-05,,307.34000000000003,51,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
23,10th week,Telangana,Nalgonda,Dengue,6,,11,3,2022,16.8579636,79.21749353,0.0001335467262,8.0,309.556,137,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
24,10th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,556,,5,3,2022,22.642931,88.8930579,0.0127255705,,299.72,285,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
